DropcamOut,LaptopOut,WelcomeOut,TIME,sum,noise,sum_
524322.0,0.0,16777.0,2016-09-22 14:00:00,541099.0,7886,548985.0
527018.0,0.0,15873.0,2016-09-22 15:00:00,542891.0,9151,552042.0
535320.0,0.0,15836.0,2016-09-22 16:00:00,551156.0,5099,556255.0
531098.0,0.0,16299.0,2016-09-22 17:00:00,547397.0,6499,553896.0
535942.0,0.0,18314.0,2016-09-22 18:00:00,554256.0,8452,562708.0
536348.0,0.0,15180.0,2016-09-22 19:00:00,551528.0,11627,563155.0
558594.0,0.0,16121.0,2016-09-22 20:00:00,574715.0,8542,583257.0
590894.0,0.0,15594.0,2016-09-22 21:00:00,606488.0,10806,617294.0
831760.0,0.0,15104.0,2016-09-22 22:00:00,846864.0,7827,854691.0
1186708.0,0.0,1193524.0,2016-09-22 23:00:00,2380232.0,6887,2387119.0
1859810.0,0.0,1298438.0,2016-09-23 00:00:00,3158248.0,9158,3167406.0
1730240.0,0.0,962502.0,2016-09-23 01:00:00,2692742.0,12364,2705106.0
2219342.0,3593415.0,1446593.0,2016-09-23 02:00:00,7259350.0,9403,7268753.0
1630008.0,3526429.0,2017007.0,2016-09-23 03:00:00,7173444.0,9603,7183047.0
1841338.0,273379.0,1389655.0,2016-09-23 04:00:00,3504372.0,10849,3515221.0
1361118.0,2772187.0,1186115.0,2016-09-23 05:00:00,5319420.0,11510,5330930.0
711930.0,0.0,408481.0,2016-09-23 06:00:00,1120411.0,8083,1128494.0
894302.0,0.0,972457.0,2016-09-23 07:00:00,1866759.0,10974,1877733.0
592346.0,0.0,19557.0,2016-09-23 08:00:00,611903.0,7426,619329.0
530716.0,0.0,15362.0,2016-09-23 09:00:00,546078.0,8663,554741.0
536648.0,0.0,15151.0,2016-09-23 10:00:00,551799.0,8942,560741.0
528548.0,0.0,15148.0,2016-09-23 11:00:00,543696.0,9785,553481.0
548450.0,0.0,14934.0,2016-09-23 12:00:00,563384.0,12239,575623.0
536102.0,0.0,15546.0,2016-09-23 13:00:00,551648.0,10491,562139.0
524124.0,0.0,15047.0,2016-09-23 14:00:00,539171.0,9429,548600.0
521508.0,0.0,14867.0,2016-09-23 15:00:00,536375.0,9586,545961.0
522064.0,0.0,14713.0,2016-09-23 16:00:00,536777.0,10742,547519.0
529356.0,0.0,15164.0,2016-09-23 17:00:00,544520.0,14320,558840.0
527650.0,0.0,16832.0,2016-09-23 18:00:00,544482.0,12678,557160.0
543416.0,0.0,15621.0,2016-09-23 19:00:00,559037.0,9933,568970.0
534726.0,0.0,14978.0,2016-09-23 20:00:00,549704.0,9718,559422.0
1414264.0,0.0,52061.0,2016-09-23 21:00:00,1466325.0,8201,1474526.0
457298.0,0.0,14967.0,2016-09-23 22:00:00,472265.0,13115,485380.0
491716.0,0.0,14884.0,2016-09-23 23:00:00,506600.0,6524,513124.0
486606.0,0.0,257014.0,2016-09-24 00:00:00,743620.0,11252,754872.0
589622.0,0.0,123932.0,2016-09-24 01:00:00,713554.0,11896,725450.0
559008.0,0.0,14912.0,2016-09-24 02:00:00,573920.0,9460,583380.0
564668.0,0.0,15401.0,2016-09-24 03:00:00,580069.0,7836,587905.0
583266.0,0.0,15118.0,2016-09-24 04:00:00,598384.0,13132,611516.0
535662.0,0.0,15216.0,2016-09-24 05:00:00,550878.0,10533,561411.0
524424.0,0.0,17471.0,2016-09-24 06:00:00,541895.0,10812,552707.0
543336.0,0.0,19582.0,2016-09-24 07:00:00,562918.0,6739,569657.0
577570.0,0.0,15403.0,2016-09-24 08:00:00,592973.0,12887,605860.0
530150.0,0.0,14979.0,2016-09-24 09:00:00,545129.0,10179,555308.0
512362.0,0.0,15077.0,2016-09-24 10:00:00,527439.0,10334,537773.0
526830.0,0.0,15227.0,2016-09-24 11:00:00,542057.0,6465,548522.0
526938.0,0.0,16013.0,2016-09-24 12:00:00,542951.0,10334,553285.0
522606.0,0.0,14657.0,2016-09-24 13:00:00,537263.0,8061,545324.0
523242.0,0.0,14569.0,2016-09-24 14:00:00,537811.0,11646,549457.0
521720.0,0.0,14829.0,2016-09-24 15:00:00,536549.0,9260,545809.0
531850.0,0.0,15142.0,2016-09-24 16:00:00,546992.0,10312,557304.0
533672.0,0.0,15149.0,2016-09-24 17:00:00,548821.0,10565,559386.0
532318.0,0.0,17501.0,2016-09-24 18:00:00,549819.0,12086,561905.0
553498.0,0.0,16770.0,2016-09-24 19:00:00,570268.0,9289,579557.0
526272.0,0.0,15196.0,2016-09-24 20:00:00,541468.0,11346,552814.0
527824.0,0.0,15088.0,2016-09-24 21:00:00,542912.0,6769,549681.0
516786.0,0.0,15197.0,2016-09-24 22:00:00,531983.0,8815,540798.0
524014.0,0.0,15451.0,2016-09-24 23:00:00,539465.0,12340,551805.0
529098.0,0.0,15587.0,2016-09-25 00:00:00,544685.0,12204,556889.0
648484.0,0.0,15110.0,2016-09-25 01:00:00,663594.0,12088,675682.0
634214.0,0.0,14732.0,2016-09-25 02:00:00,648946.0,10798,659744.0
546278.0,0.0,15535.0,2016-09-25 03:00:00,561813.0,9273,571086.0
526524.0,0.0,15276.0,2016-09-25 04:00:00,541800.0,11138,552938.0
525990.0,0.0,15583.0,2016-09-25 05:00:00,541573.0,11660,553233.0
529280.0,0.0,21998.0,2016-09-25 06:00:00,551278.0,7990,559268.0
546754.0,0.0,14864.0,2016-09-25 07:00:00,561618.0,9108,570726.0
584708.0,0.0,19609.0,2016-09-25 08:00:00,604317.0,11279,615596.0
521514.0,0.0,14932.0,2016-09-25 09:00:00,536446.0,13288,549734.0
527142.0,0.0,15545.0,2016-09-25 10:00:00,542687.0,11538,554225.0
522128.0,0.0,15108.0,2016-09-25 11:00:00,537236.0,9279,546515.0
519464.0,0.0,15670.0,2016-09-25 12:00:00,535134.0,11512,546646.0
519912.0,0.0,15380.0,2016-09-25 13:00:00,535292.0,8305,543597.0
525228.0,0.0,15185.0,2016-09-25 14:00:00,540413.0,10486,550899.0
525820.0,0.0,14868.0,2016-09-25 15:00:00,540688.0,12703,553391.0
529542.0,0.0,14795.0,2016-09-25 16:00:00,544337.0,13102,557439.0
529618.0,0.0,14656.0,2016-09-25 17:00:00,544274.0,12646,556920.0
528786.0,0.0,18047.0,2016-09-25 18:00:00,546833.0,11990,558823.0
541844.0,0.0,14747.0,2016-09-25 19:00:00,556591.0,8826,565417.0
560366.0,0.0,14996.0,2016-09-25 20:00:00,575362.0,11081,586443.0
762474.0,0.0,493084.0,2016-09-25 21:00:00,1255558.0,8444,1264002.0
2040722.0,0.0,3588973.0,2016-09-25 22:00:00,5629695.0,12053,5641748.0
1118854.0,0.0,2768487.0,2016-09-25 23:00:00,3887341.0,6802,3894143.0
1180718.0,0.0,2502888.0,2016-09-26 00:00:00,3683606.0,8962,3692568.0
822620.0,0.0,720032.0,2016-09-26 01:00:00,1542652.0,10497,1553149.0
605786.0,0.0,15665.0,2016-09-26 02:00:00,621451.0,10992,632443.0
604508.0,0.0,14493.0,2016-09-26 03:00:00,619001.0,11340,630341.0
719856.0,0.0,15092.0,2016-09-26 04:00:00,734948.0,9556,744504.0
596380.0,0.0,17355.0,2016-09-26 05:00:00,613735.0,9258,622993.0
550056.0,0.0,22202.0,2016-09-26 06:00:00,572258.0,7140,579398.0
537270.0,0.0,18576.0,2016-09-26 07:00:00,555846.0,6671,562517.0
584574.0,0.0,15185.0,2016-09-26 08:00:00,599759.0,7977,607736.0
525776.0,0.0,15282.0,2016-09-26 09:00:00,541058.0,7952,549010.0
537328.0,0.0,16195.0,2016-09-26 10:00:00,553523.0,8888,562411.0
1011253.0,0.0,15794.0,2016-09-26 11:00:00,1027047.0,11786,1038833.0
548796.0,0.0,16837.0,2016-09-26 12:00:00,565633.0,8452,574085.0
529128.0,0.0,15093.0,2016-09-26 13:00:00,544221.0,14578,558799.0
537326.0,0.0,15595.0,2016-09-26 14:00:00,552921.0,12400,565321.0
534456.0,0.0,14843.0,2016-09-26 15:00:00,549299.0,10014,559313.0
542866.0,0.0,14389.0,2016-09-26 16:00:00,557255.0,11287,568542.0
534968.0,0.0,15485.0,2016-09-26 17:00:00,550453.0,8824,559277.0
554976.0,0.0,17257.0,2016-09-26 18:00:00,572233.0,10525,582758.0
577574.0,0.0,15348.0,2016-09-26 19:00:00,592922.0,12713,605635.0
574608.0,0.0,15026.0,2016-09-26 20:00:00,589634.0,10681,600315.0
539140.0,0.0,14936.0,2016-09-26 21:00:00,554076.0,10606,564682.0
847406.0,0.0,615500.0,2016-09-26 22:00:00,1462906.0,11191,1474097.0
848406.0,0.0,967847.0,2016-09-26 23:00:00,1816253.0,10548,1826801.0
1088976.0,0.0,2770957.0,2016-09-27 00:00:00,3859933.0,10952,3870885.0
1349908.0,0.0,501298.0,2016-09-27 01:00:00,1851206.0,9548,1860754.0
1082232.0,0.0,15088.0,2016-09-27 02:00:00,1097320.0,11993,1109313.0
